seed,value,datasetGroups,datasetSubGroups
seed.691,0.995669726,R^2 = 0.1,SBS1:SBS5 ratio = 0.5
seed.1999,0.948962613,R^2 = 0.1,SBS1:SBS5 ratio = 0.5
seed.3511,0.997182971,R^2 = 0.1,SBS1:SBS5 ratio = 0.5
seed.8009,0.941274047,R^2 = 0.1,SBS1:SBS5 ratio = 0.5
seed.9902,0.996762201,R^2 = 0.1,SBS1:SBS5 ratio = 0.5
seed.10163,0.996201465,R^2 = 0.1,SBS1:SBS5 ratio = 0.5
seed.10509,0.996747581,R^2 = 0.1,SBS1:SBS5 ratio = 0.5
seed.14476,0.996472939,R^2 = 0.1,SBS1:SBS5 ratio = 0.5
seed.20897,0.953220554,R^2 = 0.1,SBS1:SBS5 ratio = 0.5
seed.27847,0.997089758,R^2 = 0.1,SBS1:SBS5 ratio = 0.5
seed.34637,0.996737531,R^2 = 0.1,SBS1:SBS5 ratio = 0.5
seed.49081,0.996884508,R^2 = 0.1,SBS1:SBS5 ratio = 0.5
seed.75679,0.995772079,R^2 = 0.1,SBS1:SBS5 ratio = 0.5
seed.103333,0.996084208,R^2 = 0.1,SBS1:SBS5 ratio = 0.5
seed.145879,0.928927927,R^2 = 0.1,SBS1:SBS5 ratio = 0.5
seed.200437,0.996423742,R^2 = 0.1,SBS1:SBS5 ratio = 0.5
seed.310111,0.935270233,R^2 = 0.1,SBS1:SBS5 ratio = 0.5
seed.528401,0.996170433,R^2 = 0.1,SBS1:SBS5 ratio = 0.5
seed.1076753,0.943412796,R^2 = 0.1,SBS1:SBS5 ratio = 0.5
seed.1,0.997719195,R^2 = 0.2,SBS1:SBS5 ratio = 0.5
seed.691,0.996231345,R^2 = 0.2,SBS1:SBS5 ratio = 0.5
seed.1999,0.948571302,R^2 = 0.2,SBS1:SBS5 ratio = 0.5
seed.3511,0.998052563,R^2 = 0.2,SBS1:SBS5 ratio = 0.5
seed.8009,0.940702854,R^2 = 0.2,SBS1:SBS5 ratio = 0.5
seed.9902,0.997558542,R^2 = 0.2,SBS1:SBS5 ratio = 0.5
seed.10163,0.896930534,R^2 = 0.2,SBS1:SBS5 ratio = 0.5
seed.10509,0.997584885,R^2 = 0.2,SBS1:SBS5 ratio = 0.5
seed.14476,0.997093922,R^2 = 0.2,SBS1:SBS5 ratio = 0.5
seed.20897,0.953281749,R^2 = 0.2,SBS1:SBS5 ratio = 0.5
seed.27847,0.997893829,R^2 = 0.2,SBS1:SBS5 ratio = 0.5
seed.34637,0.99732766,R^2 = 0.2,SBS1:SBS5 ratio = 0.5
seed.49081,0.997346827,R^2 = 0.2,SBS1:SBS5 ratio = 0.5
seed.75679,0.996491876,R^2 = 0.2,SBS1:SBS5 ratio = 0.5
seed.103333,0.996750988,R^2 = 0.2,SBS1:SBS5 ratio = 0.5
seed.145879,0.994887698,R^2 = 0.2,SBS1:SBS5 ratio = 0.5
seed.200437,0.997348855,R^2 = 0.2,SBS1:SBS5 ratio = 0.5
seed.310111,0.935763091,R^2 = 0.2,SBS1:SBS5 ratio = 0.5
seed.528401,0.996310551,R^2 = 0.2,SBS1:SBS5 ratio = 0.5
seed.1076753,0.892351333,R^2 = 0.2,SBS1:SBS5 ratio = 0.5
seed.1,0.997067304,R^2 = 0.3,SBS1:SBS5 ratio = 0.5
seed.691,0.99731417,R^2 = 0.3,SBS1:SBS5 ratio = 0.5
seed.1999,0.931496359,R^2 = 0.3,SBS1:SBS5 ratio = 0.5
seed.3511,0.997902054,R^2 = 0.3,SBS1:SBS5 ratio = 0.5
seed.8009,0.932432139,R^2 = 0.3,SBS1:SBS5 ratio = 0.5
seed.9902,0.898228967,R^2 = 0.3,SBS1:SBS5 ratio = 0.5
seed.10163,0.883164868,R^2 = 0.3,SBS1:SBS5 ratio = 0.5
seed.10509,0.998275008,R^2 = 0.3,SBS1:SBS5 ratio = 0.5
seed.14476,0.91557839,R^2 = 0.3,SBS1:SBS5 ratio = 0.5
seed.20897,0.99659059,R^2 = 0.3,SBS1:SBS5 ratio = 0.5
seed.27847,0.998411685,R^2 = 0.3,SBS1:SBS5 ratio = 0.5
seed.34637,0.888631722,R^2 = 0.3,SBS1:SBS5 ratio = 0.5
seed.49081,0.998355049,R^2 = 0.3,SBS1:SBS5 ratio = 0.5
seed.75679,0.997787548,R^2 = 0.3,SBS1:SBS5 ratio = 0.5
seed.103333,0.99751442,R^2 = 0.3,SBS1:SBS5 ratio = 0.5
seed.145879,0.996198746,R^2 = 0.3,SBS1:SBS5 ratio = 0.5
seed.200437,0.997365896,R^2 = 0.3,SBS1:SBS5 ratio = 0.5
seed.310111,0.995781931,R^2 = 0.3,SBS1:SBS5 ratio = 0.5
seed.528401,0.996705295,R^2 = 0.3,SBS1:SBS5 ratio = 0.5
seed.1076753,0.900207019,R^2 = 0.3,SBS1:SBS5 ratio = 0.5
seed.1,0.860426289,R^2 = 0.6,SBS1:SBS5 ratio = 0.5
seed.691,0.994849247,R^2 = 0.6,SBS1:SBS5 ratio = 0.5
seed.1999,0.865862973,R^2 = 0.6,SBS1:SBS5 ratio = 0.5
seed.3511,0.875711529,R^2 = 0.6,SBS1:SBS5 ratio = 0.5
seed.8009,0.92331891,R^2 = 0.6,SBS1:SBS5 ratio = 0.5
seed.9902,0.893992191,R^2 = 0.6,SBS1:SBS5 ratio = 0.5
seed.10163,0.83623241,R^2 = 0.6,SBS1:SBS5 ratio = 0.5
seed.10509,0.940678795,R^2 = 0.6,SBS1:SBS5 ratio = 0.5
seed.14476,0.86648189,R^2 = 0.6,SBS1:SBS5 ratio = 0.5
seed.20897,0.880898211,R^2 = 0.6,SBS1:SBS5 ratio = 0.5
seed.27847,0.860885355,R^2 = 0.6,SBS1:SBS5 ratio = 0.5
seed.34637,0.885705069,R^2 = 0.6,SBS1:SBS5 ratio = 0.5
seed.49081,0.880001346,R^2 = 0.6,SBS1:SBS5 ratio = 0.5
seed.75679,0.868538117,R^2 = 0.6,SBS1:SBS5 ratio = 0.5
seed.103333,0.867197338,R^2 = 0.6,SBS1:SBS5 ratio = 0.5
seed.145879,0.936387678,R^2 = 0.6,SBS1:SBS5 ratio = 0.5
seed.200437,0.853505112,R^2 = 0.6,SBS1:SBS5 ratio = 0.5
seed.310111,0.993318506,R^2 = 0.6,SBS1:SBS5 ratio = 0.5
seed.528401,0.994069232,R^2 = 0.6,SBS1:SBS5 ratio = 0.5
seed.1076753,0.891443888,R^2 = 0.6,SBS1:SBS5 ratio = 0.5
seed.1,0.954197054,R^2 = 0.1,SBS1:SBS5 ratio = 1
seed.691,0.991295609,R^2 = 0.1,SBS1:SBS5 ratio = 1
seed.1999,0.935655632,R^2 = 0.1,SBS1:SBS5 ratio = 1
seed.3511,0.883509954,R^2 = 0.1,SBS1:SBS5 ratio = 1
seed.8009,0.883158271,R^2 = 0.1,SBS1:SBS5 ratio = 1
seed.9902,0.920102015,R^2 = 0.1,SBS1:SBS5 ratio = 1
seed.10163,0.905296021,R^2 = 0.1,SBS1:SBS5 ratio = 1
seed.10509,0.963613617,R^2 = 0.1,SBS1:SBS5 ratio = 1
seed.14476,0.911931211,R^2 = 0.1,SBS1:SBS5 ratio = 1
seed.20897,0.974977247,R^2 = 0.1,SBS1:SBS5 ratio = 1
seed.27847,0.969241025,R^2 = 0.1,SBS1:SBS5 ratio = 1
seed.34637,0.907917504,R^2 = 0.1,SBS1:SBS5 ratio = 1
seed.49081,0.908427329,R^2 = 0.1,SBS1:SBS5 ratio = 1
seed.75679,0.984950094,R^2 = 0.1,SBS1:SBS5 ratio = 1
seed.103333,0.970679678,R^2 = 0.1,SBS1:SBS5 ratio = 1
seed.145879,0.944642042,R^2 = 0.1,SBS1:SBS5 ratio = 1
seed.200437,0.952764213,R^2 = 0.1,SBS1:SBS5 ratio = 1
seed.310111,0.991519887,R^2 = 0.1,SBS1:SBS5 ratio = 1
seed.528401,0.996222752,R^2 = 0.1,SBS1:SBS5 ratio = 1
seed.1076753,0.891064842,R^2 = 0.1,SBS1:SBS5 ratio = 1
seed.1,0.981484397,R^2 = 0.2,SBS1:SBS5 ratio = 1
seed.691,0.997510571,R^2 = 0.2,SBS1:SBS5 ratio = 1
seed.1999,0.949698878,R^2 = 0.2,SBS1:SBS5 ratio = 1
seed.3511,0.981596321,R^2 = 0.2,SBS1:SBS5 ratio = 1
seed.8009,0.911365912,R^2 = 0.2,SBS1:SBS5 ratio = 1
seed.9902,0.924568017,R^2 = 0.2,SBS1:SBS5 ratio = 1
seed.10163,0.89872321,R^2 = 0.2,SBS1:SBS5 ratio = 1
seed.10509,0.987291792,R^2 = 0.2,SBS1:SBS5 ratio = 1
seed.14476,0.919381205,R^2 = 0.2,SBS1:SBS5 ratio = 1
seed.20897,0.99210172,R^2 = 0.2,SBS1:SBS5 ratio = 1
seed.27847,0.989282004,R^2 = 0.2,SBS1:SBS5 ratio = 1
seed.34637,0.909208493,R^2 = 0.2,SBS1:SBS5 ratio = 1
seed.49081,0.998280754,R^2 = 0.2,SBS1:SBS5 ratio = 1
seed.75679,0.99566027,R^2 = 0.2,SBS1:SBS5 ratio = 1
seed.103333,0.990580651,R^2 = 0.2,SBS1:SBS5 ratio = 1
seed.145879,0.998585705,R^2 = 0.2,SBS1:SBS5 ratio = 1
seed.200437,0.982259608,R^2 = 0.2,SBS1:SBS5 ratio = 1
seed.310111,0.997601407,R^2 = 0.2,SBS1:SBS5 ratio = 1
seed.528401,0.9981816,R^2 = 0.2,SBS1:SBS5 ratio = 1
seed.1076753,0.900169283,R^2 = 0.2,SBS1:SBS5 ratio = 1
seed.1,0.954416672,R^2 = 0.3,SBS1:SBS5 ratio = 1
seed.691,0.992318293,R^2 = 0.3,SBS1:SBS5 ratio = 1
seed.1999,0.933068007,R^2 = 0.3,SBS1:SBS5 ratio = 1
seed.3511,0.95416275,R^2 = 0.3,SBS1:SBS5 ratio = 1
seed.8009,0.886108399,R^2 = 0.3,SBS1:SBS5 ratio = 1
seed.9902,0.920415236,R^2 = 0.3,SBS1:SBS5 ratio = 1
seed.10163,0.903478315,R^2 = 0.3,SBS1:SBS5 ratio = 1
seed.10509,0.965265305,R^2 = 0.3,SBS1:SBS5 ratio = 1
seed.14476,0.913081506,R^2 = 0.3,SBS1:SBS5 ratio = 1
seed.20897,0.976479765,R^2 = 0.3,SBS1:SBS5 ratio = 1
seed.27847,0.970845648,R^2 = 0.3,SBS1:SBS5 ratio = 1
seed.34637,0.907763269,R^2 = 0.3,SBS1:SBS5 ratio = 1
seed.49081,0.908664602,R^2 = 0.3,SBS1:SBS5 ratio = 1
seed.75679,0.985850326,R^2 = 0.3,SBS1:SBS5 ratio = 1
seed.103333,0.97234957,R^2 = 0.3,SBS1:SBS5 ratio = 1
seed.145879,0.995911475,R^2 = 0.3,SBS1:SBS5 ratio = 1
seed.200437,0.954906664,R^2 = 0.3,SBS1:SBS5 ratio = 1
seed.310111,0.992358264,R^2 = 0.3,SBS1:SBS5 ratio = 1
seed.528401,0.996409304,R^2 = 0.3,SBS1:SBS5 ratio = 1
seed.1076753,0.904927867,R^2 = 0.3,SBS1:SBS5 ratio = 1
seed.1,0.894261885,R^2 = 0.6,SBS1:SBS5 ratio = 1
seed.691,0.955247814,R^2 = 0.6,SBS1:SBS5 ratio = 1
seed.1999,0.900823569,R^2 = 0.6,SBS1:SBS5 ratio = 1
seed.3511,0.850828825,R^2 = 0.6,SBS1:SBS5 ratio = 1
seed.8009,0.877722322,R^2 = 0.6,SBS1:SBS5 ratio = 1
seed.9902,0.899892351,R^2 = 0.6,SBS1:SBS5 ratio = 1
seed.10163,0.885508087,R^2 = 0.6,SBS1:SBS5 ratio = 1
seed.10509,0.961369227,R^2 = 0.6,SBS1:SBS5 ratio = 1
seed.14476,0.893577718,R^2 = 0.6,SBS1:SBS5 ratio = 1
seed.20897,0.946672953,R^2 = 0.6,SBS1:SBS5 ratio = 1
seed.27847,0.878122016,R^2 = 0.6,SBS1:SBS5 ratio = 1
seed.34637,0.895170072,R^2 = 0.6,SBS1:SBS5 ratio = 1
seed.49081,0.891550654,R^2 = 0.6,SBS1:SBS5 ratio = 1
seed.75679,0.873431356,R^2 = 0.6,SBS1:SBS5 ratio = 1
seed.103333,0.880183641,R^2 = 0.6,SBS1:SBS5 ratio = 1
seed.145879,0.932075736,R^2 = 0.6,SBS1:SBS5 ratio = 1
seed.200437,0.892538002,R^2 = 0.6,SBS1:SBS5 ratio = 1
seed.310111,0.976957032,R^2 = 0.6,SBS1:SBS5 ratio = 1
seed.528401,0.878466606,R^2 = 0.6,SBS1:SBS5 ratio = 1
seed.1076753,0.896936471,R^2 = 0.6,SBS1:SBS5 ratio = 1
seed.1,0.910322462,R^2 = 0.1,SBS1:SBS5 ratio = 2
seed.691,0.983793324,R^2 = 0.1,SBS1:SBS5 ratio = 2
seed.1999,0.914770503,R^2 = 0.1,SBS1:SBS5 ratio = 2
seed.3511,0.903693241,R^2 = 0.1,SBS1:SBS5 ratio = 2
seed.8009,0.871627825,R^2 = 0.1,SBS1:SBS5 ratio = 2
seed.9902,0.914165018,R^2 = 0.1,SBS1:SBS5 ratio = 2
seed.10163,0.913052529,R^2 = 0.1,SBS1:SBS5 ratio = 2
seed.10509,0.919582132,R^2 = 0.1,SBS1:SBS5 ratio = 2
seed.14476,0.971059141,R^2 = 0.1,SBS1:SBS5 ratio = 2
seed.20897,0.953269136,R^2 = 0.1,SBS1:SBS5 ratio = 2
seed.27847,0.910732961,R^2 = 0.1,SBS1:SBS5 ratio = 2
seed.34637,0.937993817,R^2 = 0.1,SBS1:SBS5 ratio = 2
seed.49081,0.978325423,R^2 = 0.1,SBS1:SBS5 ratio = 2
seed.75679,0.964347548,R^2 = 0.1,SBS1:SBS5 ratio = 2
seed.103333,0.940241363,R^2 = 0.1,SBS1:SBS5 ratio = 2
seed.145879,0.994162981,R^2 = 0.1,SBS1:SBS5 ratio = 2
seed.200437,0.913580661,R^2 = 0.1,SBS1:SBS5 ratio = 2
seed.310111,0.984497567,R^2 = 0.1,SBS1:SBS5 ratio = 2
seed.528401,0.995967098,R^2 = 0.1,SBS1:SBS5 ratio = 2
seed.1076753,0.921977388,R^2 = 0.1,SBS1:SBS5 ratio = 2
seed.1,0.913800178,R^2 = 0.2,SBS1:SBS5 ratio = 2
seed.691,0.984411557,R^2 = 0.2,SBS1:SBS5 ratio = 2
seed.1999,0.916876122,R^2 = 0.2,SBS1:SBS5 ratio = 2
seed.3511,0.907644292,R^2 = 0.2,SBS1:SBS5 ratio = 2
seed.8009,0.869057324,R^2 = 0.2,SBS1:SBS5 ratio = 2
seed.9902,0.916082059,R^2 = 0.2,SBS1:SBS5 ratio = 2
seed.10163,0.933496951,R^2 = 0.2,SBS1:SBS5 ratio = 2
seed.10509,0.920847079,R^2 = 0.2,SBS1:SBS5 ratio = 2
seed.14476,0.97126253,R^2 = 0.2,SBS1:SBS5 ratio = 2
seed.20897,0.954674941,R^2 = 0.2,SBS1:SBS5 ratio = 2
seed.27847,0.911203882,R^2 = 0.2,SBS1:SBS5 ratio = 2
seed.34637,0.923105654,R^2 = 0.2,SBS1:SBS5 ratio = 2
seed.49081,0.979496725,R^2 = 0.2,SBS1:SBS5 ratio = 2
seed.75679,0.965611052,R^2 = 0.2,SBS1:SBS5 ratio = 2
seed.103333,0.941725046,R^2 = 0.2,SBS1:SBS5 ratio = 2
seed.145879,0.994494246,R^2 = 0.2,SBS1:SBS5 ratio = 2
seed.200437,0.918725815,R^2 = 0.2,SBS1:SBS5 ratio = 2
seed.310111,0.985306605,R^2 = 0.2,SBS1:SBS5 ratio = 2
seed.528401,0.99530288,R^2 = 0.2,SBS1:SBS5 ratio = 2
seed.1076753,0.908509234,R^2 = 0.2,SBS1:SBS5 ratio = 2
seed.1,0.890800569,R^2 = 0.3,SBS1:SBS5 ratio = 2
seed.691,0.973881589,R^2 = 0.3,SBS1:SBS5 ratio = 2
seed.1999,0.931493221,R^2 = 0.3,SBS1:SBS5 ratio = 2
seed.3511,0.886225872,R^2 = 0.3,SBS1:SBS5 ratio = 2
seed.8009,0.866795698,R^2 = 0.3,SBS1:SBS5 ratio = 2
seed.9902,0.91205448,R^2 = 0.3,SBS1:SBS5 ratio = 2
seed.10163,0.917944575,R^2 = 0.3,SBS1:SBS5 ratio = 2
seed.10509,0.899749412,R^2 = 0.3,SBS1:SBS5 ratio = 2
seed.14476,0.885691455,R^2 = 0.3,SBS1:SBS5 ratio = 2
seed.20897,0.932310344,R^2 = 0.3,SBS1:SBS5 ratio = 2
seed.27847,0.91608245,R^2 = 0.3,SBS1:SBS5 ratio = 2
seed.34637,0.902509776,R^2 = 0.3,SBS1:SBS5 ratio = 2
seed.49081,0.972757579,R^2 = 0.3,SBS1:SBS5 ratio = 2
seed.75679,0.951722746,R^2 = 0.3,SBS1:SBS5 ratio = 2
seed.103333,0.920088041,R^2 = 0.3,SBS1:SBS5 ratio = 2
seed.145879,0.986661942,R^2 = 0.3,SBS1:SBS5 ratio = 2
seed.200437,0.89364687,R^2 = 0.3,SBS1:SBS5 ratio = 2
seed.310111,0.971756319,R^2 = 0.3,SBS1:SBS5 ratio = 2
seed.528401,0.989211117,R^2 = 0.3,SBS1:SBS5 ratio = 2
seed.1076753,0.909361507,R^2 = 0.3,SBS1:SBS5 ratio = 2
seed.1,0.896420078,R^2 = 0.6,SBS1:SBS5 ratio = 2
seed.691,0.935867469,R^2 = 0.6,SBS1:SBS5 ratio = 2
seed.1999,0.947591008,R^2 = 0.6,SBS1:SBS5 ratio = 2
seed.3511,0.869647782,R^2 = 0.6,SBS1:SBS5 ratio = 2
seed.8009,0.853942165,R^2 = 0.6,SBS1:SBS5 ratio = 2
seed.9902,0.899897583,R^2 = 0.6,SBS1:SBS5 ratio = 2
seed.10163,0.893299865,R^2 = 0.6,SBS1:SBS5 ratio = 2
seed.10509,0.938111598,R^2 = 0.6,SBS1:SBS5 ratio = 2
seed.14476,0.85219016,R^2 = 0.6,SBS1:SBS5 ratio = 2
seed.20897,0.883185378,R^2 = 0.6,SBS1:SBS5 ratio = 2
seed.27847,0.887801593,R^2 = 0.6,SBS1:SBS5 ratio = 2
seed.34637,0.887748229,R^2 = 0.6,SBS1:SBS5 ratio = 2
seed.49081,0.86369599,R^2 = 0.6,SBS1:SBS5 ratio = 2
seed.75679,0.828632258,R^2 = 0.6,SBS1:SBS5 ratio = 2
seed.103333,0.882836871,R^2 = 0.6,SBS1:SBS5 ratio = 2
seed.145879,0.85565362,R^2 = 0.6,SBS1:SBS5 ratio = 2
seed.200437,0.888411435,R^2 = 0.6,SBS1:SBS5 ratio = 2
seed.310111,0.924902279,R^2 = 0.6,SBS1:SBS5 ratio = 2
seed.528401,0.87231502,R^2 = 0.6,SBS1:SBS5 ratio = 2
seed.1076753,0.910080207,R^2 = 0.6,SBS1:SBS5 ratio = 2
seed.1,0.943882022,R^2 = 0.1,SBS1:SBS5 ratio = 10
seed.691,0.96879521,R^2 = 0.1,SBS1:SBS5 ratio = 10
seed.1999,0.930338185,R^2 = 0.1,SBS1:SBS5 ratio = 10
seed.3511,0.884620075,R^2 = 0.1,SBS1:SBS5 ratio = 10
seed.8009,0.891054131,R^2 = 0.1,SBS1:SBS5 ratio = 10
seed.9902,0.936027549,R^2 = 0.1,SBS1:SBS5 ratio = 10
seed.10163,0.952725177,R^2 = 0.1,SBS1:SBS5 ratio = 10
seed.10509,0.976015013,R^2 = 0.1,SBS1:SBS5 ratio = 10
seed.14476,0.968766575,R^2 = 0.1,SBS1:SBS5 ratio = 10
seed.20897,0.962361602,R^2 = 0.1,SBS1:SBS5 ratio = 10
seed.27847,0.902773158,R^2 = 0.1,SBS1:SBS5 ratio = 10
seed.34637,0.940238127,R^2 = 0.1,SBS1:SBS5 ratio = 10
seed.49081,0.934376987,R^2 = 0.1,SBS1:SBS5 ratio = 10
seed.75679,0.889819787,R^2 = 0.1,SBS1:SBS5 ratio = 10
seed.103333,0.901995609,R^2 = 0.1,SBS1:SBS5 ratio = 10
seed.145879,0.990982971,R^2 = 0.1,SBS1:SBS5 ratio = 10
seed.200437,0.920547887,R^2 = 0.1,SBS1:SBS5 ratio = 10
seed.310111,0.93501807,R^2 = 0.1,SBS1:SBS5 ratio = 10
seed.528401,0.974853559,R^2 = 0.1,SBS1:SBS5 ratio = 10
seed.1076753,0.963186536,R^2 = 0.1,SBS1:SBS5 ratio = 10
seed.1,0.946938889,R^2 = 0.2,SBS1:SBS5 ratio = 10
seed.691,0.963496492,R^2 = 0.2,SBS1:SBS5 ratio = 10
seed.1999,0.942988035,R^2 = 0.2,SBS1:SBS5 ratio = 10
seed.3511,0.879422998,R^2 = 0.2,SBS1:SBS5 ratio = 10
seed.8009,0.910399924,R^2 = 0.2,SBS1:SBS5 ratio = 10
seed.9902,0.921229871,R^2 = 0.2,SBS1:SBS5 ratio = 10
seed.10163,0.954999976,R^2 = 0.2,SBS1:SBS5 ratio = 10
seed.10509,0.962575988,R^2 = 0.2,SBS1:SBS5 ratio = 10
seed.14476,0.962170527,R^2 = 0.2,SBS1:SBS5 ratio = 10
seed.20897,0.883760597,R^2 = 0.2,SBS1:SBS5 ratio = 10
