seed,value,datasetGroups,datasetSubGroups
seed.1,0.894134247,R^2 = 0.1,SBS1:SBS5 ratio = 0.1
seed.691,0.84581405,R^2 = 0.1,SBS1:SBS5 ratio = 0.1
seed.1999,0.945947787,R^2 = 0.1,SBS1:SBS5 ratio = 0.1
seed.3511,0.909100135,R^2 = 0.1,SBS1:SBS5 ratio = 0.1
seed.8009,0.90032925,R^2 = 0.1,SBS1:SBS5 ratio = 0.1
seed.9902,0.916825858,R^2 = 0.1,SBS1:SBS5 ratio = 0.1
seed.10163,0.904113474,R^2 = 0.1,SBS1:SBS5 ratio = 0.1
seed.10509,0.898195979,R^2 = 0.1,SBS1:SBS5 ratio = 0.1
seed.14476,0.874260671,R^2 = 0.1,SBS1:SBS5 ratio = 0.1
seed.20897,0.950038146,R^2 = 0.1,SBS1:SBS5 ratio = 0.1
seed.27847,0.902977145,R^2 = 0.1,SBS1:SBS5 ratio = 0.1
seed.34637,0.994393347,R^2 = 0.1,SBS1:SBS5 ratio = 0.1
seed.49081,0.994109548,R^2 = 0.1,SBS1:SBS5 ratio = 0.1
seed.75679,0.924334467,R^2 = 0.1,SBS1:SBS5 ratio = 0.1
seed.103333,0.927719349,R^2 = 0.1,SBS1:SBS5 ratio = 0.1
seed.145879,0.907569935,R^2 = 0.1,SBS1:SBS5 ratio = 0.1
seed.200437,0.89564325,R^2 = 0.1,SBS1:SBS5 ratio = 0.1
seed.310111,0.90747279,R^2 = 0.1,SBS1:SBS5 ratio = 0.1
seed.528401,0.994075841,R^2 = 0.1,SBS1:SBS5 ratio = 0.1
seed.1076753,0.927713125,R^2 = 0.1,SBS1:SBS5 ratio = 0.1
seed.1,0.881456621,R^2 = 0.2,SBS1:SBS5 ratio = 0.1
seed.691,0.855993261,R^2 = 0.2,SBS1:SBS5 ratio = 0.1
seed.1999,0.944917563,R^2 = 0.2,SBS1:SBS5 ratio = 0.1
seed.3511,0.910837641,R^2 = 0.2,SBS1:SBS5 ratio = 0.1
seed.8009,0.906171421,R^2 = 0.2,SBS1:SBS5 ratio = 0.1
seed.9902,0.911466178,R^2 = 0.2,SBS1:SBS5 ratio = 0.1
seed.10163,0.897802376,R^2 = 0.2,SBS1:SBS5 ratio = 0.1
seed.10509,0.851255993,R^2 = 0.2,SBS1:SBS5 ratio = 0.1
seed.14476,0.862727946,R^2 = 0.2,SBS1:SBS5 ratio = 0.1
seed.20897,0.948440006,R^2 = 0.2,SBS1:SBS5 ratio = 0.1
seed.27847,0.869226434,R^2 = 0.2,SBS1:SBS5 ratio = 0.1
seed.34637,0.887725931,R^2 = 0.2,SBS1:SBS5 ratio = 0.1
seed.49081,0.887757537,R^2 = 0.2,SBS1:SBS5 ratio = 0.1
seed.75679,0.928385996,R^2 = 0.2,SBS1:SBS5 ratio = 0.1
seed.103333,0.929648378,R^2 = 0.2,SBS1:SBS5 ratio = 0.1
seed.145879,0.896116416,R^2 = 0.2,SBS1:SBS5 ratio = 0.1
seed.200437,0.900813986,R^2 = 0.2,SBS1:SBS5 ratio = 0.1
seed.310111,0.906842263,R^2 = 0.2,SBS1:SBS5 ratio = 0.1
seed.528401,0.891216461,R^2 = 0.2,SBS1:SBS5 ratio = 0.1
seed.1076753,0.938542838,R^2 = 0.2,SBS1:SBS5 ratio = 0.1
seed.1,0.892046479,R^2 = 0.3,SBS1:SBS5 ratio = 0.1
seed.691,0.862711538,R^2 = 0.3,SBS1:SBS5 ratio = 0.1
seed.1999,0.941237225,R^2 = 0.3,SBS1:SBS5 ratio = 0.1
seed.3511,0.911035117,R^2 = 0.3,SBS1:SBS5 ratio = 0.1
seed.8009,0.91018837,R^2 = 0.3,SBS1:SBS5 ratio = 0.1
seed.9902,0.919192062,R^2 = 0.3,SBS1:SBS5 ratio = 0.1
seed.10163,0.912803117,R^2 = 0.3,SBS1:SBS5 ratio = 0.1
seed.10509,0.872383987,R^2 = 0.3,SBS1:SBS5 ratio = 0.1
seed.14476,0.860432957,R^2 = 0.3,SBS1:SBS5 ratio = 0.1
seed.20897,0.868681899,R^2 = 0.3,SBS1:SBS5 ratio = 0.1
seed.27847,0.883413932,R^2 = 0.3,SBS1:SBS5 ratio = 0.1
seed.34637,0.855939549,R^2 = 0.3,SBS1:SBS5 ratio = 0.1
seed.49081,0.891975136,R^2 = 0.3,SBS1:SBS5 ratio = 0.1
seed.75679,0.930096928,R^2 = 0.3,SBS1:SBS5 ratio = 0.1
seed.103333,0.890896675,R^2 = 0.3,SBS1:SBS5 ratio = 0.1
seed.145879,0.886486709,R^2 = 0.3,SBS1:SBS5 ratio = 0.1
seed.200437,0.868519249,R^2 = 0.3,SBS1:SBS5 ratio = 0.1
seed.310111,0.904336054,R^2 = 0.3,SBS1:SBS5 ratio = 0.1
seed.528401,0.869100553,R^2 = 0.3,SBS1:SBS5 ratio = 0.1
seed.1076753,0.938742007,R^2 = 0.3,SBS1:SBS5 ratio = 0.1
seed.1,0.776843658,R^2 = 0.6,SBS1:SBS5 ratio = 0.1
seed.691,0.774082271,R^2 = 0.6,SBS1:SBS5 ratio = 0.1
seed.1999,0.805045418,R^2 = 0.6,SBS1:SBS5 ratio = 0.1
seed.3511,0.812239072,R^2 = 0.6,SBS1:SBS5 ratio = 0.1
seed.8009,0.839453161,R^2 = 0.6,SBS1:SBS5 ratio = 0.1
seed.9902,0.82074933,R^2 = 0.6,SBS1:SBS5 ratio = 0.1
seed.10163,0.829893188,R^2 = 0.6,SBS1:SBS5 ratio = 0.1
seed.10509,0.798889333,R^2 = 0.6,SBS1:SBS5 ratio = 0.1
seed.14476,0.805869029,R^2 = 0.6,SBS1:SBS5 ratio = 0.1
seed.20897,0.817199425,R^2 = 0.6,SBS1:SBS5 ratio = 0.1
seed.27847,0.797288273,R^2 = 0.6,SBS1:SBS5 ratio = 0.1
seed.34637,0.769235185,R^2 = 0.6,SBS1:SBS5 ratio = 0.1
seed.49081,0.802718889,R^2 = 0.6,SBS1:SBS5 ratio = 0.1
seed.75679,0.779552733,R^2 = 0.6,SBS1:SBS5 ratio = 0.1
seed.103333,0.807806678,R^2 = 0.6,SBS1:SBS5 ratio = 0.1
seed.145879,0.806602636,R^2 = 0.6,SBS1:SBS5 ratio = 0.1
seed.200437,0.817614241,R^2 = 0.6,SBS1:SBS5 ratio = 0.1
seed.310111,0.812895356,R^2 = 0.6,SBS1:SBS5 ratio = 0.1
seed.528401,0.77714084,R^2 = 0.6,SBS1:SBS5 ratio = 0.1
seed.1076753,0.808599016,R^2 = 0.6,SBS1:SBS5 ratio = 0.1
seed.1,0.99674874,R^2 = 0.1,SBS1:SBS5 ratio = 0.5
